epoch,f1
1,0.1034
2,0.113
3,0.1191
4,0.1366
5,0.1441
6,0.1551
7,0.1621
8,0.17900000000000002
9,0.1824
10,0.1859
11,0.2018
12,0.2062
13,0.2041
14,0.2101
15,0.21499999999999997
16,0.2149
17,0.1869
18,0.2153
19,0.2251
20,0.22229999999999997
21,0.2334
22,0.2241
23,0.231
24,0.2404
25,0.2444
26,0.2479
27,0.2466
28,0.2165
29,0.2319
30,0.2556
31,0.2603
32,0.2406
33,0.2114
34,0.2338
35,0.2387
36,0.2541
37,0.2618
38,0.217
39,0.2647
40,0.2609
41,0.2772
42,0.2594
43,0.2769
44,0.2714
45,0.2772
46,0.2798
47,0.2754
48,0.2893
49,0.29
50,0.2934
51,0.2925
52,0.2756
53,0.2647
54,0.2879
55,0.2961
56,0.2978
57,0.2973
58,0.3061
59,0.3061
60,0.3062
61,0.3065
62,0.2358
63,0.2735
64,0.3014
65,0.2997
66,0.2843
67,0.2739
68,0.312
69,0.3132
70,0.3121
71,0.3109
72,0.3112
73,0.3132
74,0.3133
75,0.3006
76,0.3081
77,0.3153
78,0.3088
79,0.3264
80,0.3205
81,0.3257
82,0.3162
83,0.3276
84,0.3133
85,0.3344
86,0.3173
87,0.3363
88,0.3302
89,0.3282
90,0.3444
91,0.3408
92,0.338
93,0.3306
94,0.3526
95,0.3527
96,0.35490000000000005
97,0.3248
98,0.3442
99,0.3395
100,0.3606
101,0.3576
102,0.3445
103,0.3133
104,0.3189
105,0.3232
106,0.3293
107,0.3374
108,0.3403
109,0.3443
110,0.3554
111,0.3582
112,0.3596
113,0.36029999999999995
114,0.3483
115,0.3506
116,0.3646
117,0.3588
118,0.3423
119,0.3532
120,0.3235
121,0.3519
122,0.3519
123,0.3571
124,0.357
125,0.354
126,0.3503
127,0.3688
128,0.36710000000000004
129,0.3825
130,0.3729
131,0.3538
132,0.3704
133,0.37109999999999993
134,0.3668
135,0.37370000000000003
136,0.3661
137,0.37689999999999996
138,0.37209999999999993
139,0.3674
140,0.3622000000000001
141,0.3842
142,0.3758
143,0.378
144,0.3736
145,0.36840000000000006
146,0.3783
147,0.3418
148,0.3512
149,0.3566
150,0.3832999999999999
151,0.3805
152,0.3832
153,0.3862
154,0.38710000000000006
155,0.3895
156,0.38669999999999993
157,0.3832
158,0.388
159,0.3927
160,0.3888
161,0.3887
162,0.3849
163,0.3843
164,0.399
165,0.38809999999999995
166,0.3758
167,0.4009
168,0.3943
169,0.3911
170,0.3996
171,0.3837
172,0.4015
173,0.383
174,0.386
175,0.3882
176,0.3936
177,0.40340000000000004
178,0.3904
179,0.3936
180,0.3987
181,0.3899
182,0.3937
183,0.3869000000000001
184,0.3698
185,0.3882
186,0.3995
187,0.4016
188,0.4009
189,0.405
190,0.3873
191,0.3966
192,0.38160000000000005
193,0.3911
194,0.4017
195,0.4102
196,0.396
197,0.4044
198,0.3975
199,0.4007
200,0.4053
201,0.4018
202,0.4098
203,0.4023
204,0.4006
205,0.408
206,0.40959999999999996
207,0.4149
208,0.3925
209,0.4019
210,0.3934
211,0.4014
212,0.4172
213,0.3961
214,0.36329999999999996
215,0.3911
216,0.3801
217,0.404
218,0.4006
219,0.4066
220,0.4064
221,0.4095
222,0.399
223,0.403
224,0.4007
225,0.4068
226,0.4098
227,0.4187
228,0.4124
229,0.3989
230,0.4141
231,0.4065
232,0.4102
233,0.4153
234,0.4155
235,0.4173
236,0.4223
237,0.4036
238,0.4045
239,0.4157
240,0.4068
241,0.4187
242,0.4086
243,0.4227
244,0.4143
245,0.4088
246,0.4194
247,0.41339999999999993
248,0.4153
249,0.4237
250,0.3862999999999999
251,0.4126
252,0.4252
253,0.41850000000000004
254,0.4019
255,0.4058999999999999
256,0.42239999999999994
257,0.4253
258,0.4233
259,0.4216
260,0.434
261,0.4247
262,0.4257
263,0.40959999999999996
264,0.4257
265,0.4142
266,0.4222
267,0.4207
268,0.4278
269,0.4347
270,0.4292
271,0.4216
272,0.4264
273,0.4166
274,0.4204
275,0.4048999999999999
276,0.414
277,0.427
278,0.4166
279,0.4173
280,0.4289
281,0.4231
282,0.4373
283,0.43390000000000006
284,0.4252
285,0.4421
286,0.44
287,0.4285
288,0.4294
289,0.4313
290,0.4371
291,0.4252
292,0.43039999999999995
293,0.4324
294,0.4302
295,0.43639999999999995
296,0.43559999999999993
297,0.4335
298,0.43080000000000007
299,0.4287
300,0.43509999999999993
301,0.44139999999999996
302,0.4217
303,0.4377
304,0.4354
305,0.427
306,0.4353
307,0.4411
308,0.4331
309,0.43939999999999996
310,0.4321
311,0.4284
312,0.4377
313,0.4179
314,0.4267
315,0.4272
316,0.43290000000000006
317,0.4442
318,0.4451
319,0.433
320,0.43489999999999995
321,0.4398
322,0.4389
323,0.42960000000000004
324,0.4334
325,0.43639999999999995
326,0.4438
327,0.4399
328,0.4392
329,0.4306
330,0.4388
331,0.43559999999999993
332,0.4403
333,0.43799999999999994
334,0.4369
335,0.4355
336,0.4381
337,0.4401
