time,f1
0:00:00.023968,0.0974
0:00:15.174785,0.1252
0:00:30.233891,0.1477
0:00:45.467377,0.18209999999999998
0:01:00.728252,0.1945
0:01:17.028808,0.21149999999999997
0:01:32.737447,0.1889
0:01:49.233464,0.2226
0:02:05.412855,0.2379
0:02:20.479269,0.2501
0:02:35.574431,0.2507
0:02:50.607113,0.2157
0:03:05.707163,0.2413
0:03:21.871265,0.2026
0:03:37.114459,0.2741
0:03:52.446475,0.2787
0:04:07.574261,0.2695
0:04:23.746872,0.2962
0:04:39.274329,0.2918
0:04:54.310521,0.2954
0:05:10.301293,0.3096
0:05:26.042395,0.2953
0:05:42.515222,0.3186
0:05:58.585123,0.3096
0:06:14.881355,0.3165
0:06:31.111088,0.3151
0:06:46.701996,0.3315
0:07:01.774264,0.3129
0:07:16.810000,0.3343
0:07:31.895380,0.3461
0:07:47.727695,0.335
0:08:03.751466,0.3526
0:08:19.474503,0.3349
0:08:35.427166,0.3054
0:08:50.806733,0.3309
0:09:05.828906,0.3441
0:09:21.837900,0.3538
0:09:37.404233,0.3509
0:09:53.406340,0.3457
0:10:08.504696,0.3254
0:10:24.774785,0.3564
0:10:40.848219,0.3443
0:10:56.931812,0.3764
0:11:13.484598,0.37109999999999993
0:11:30.130067,0.37370000000000003
0:11:46.402008,0.3655
0:12:01.515227,0.3781
0:12:18.074311,0.3743
0:12:34.404717,0.3563
0:12:50.579867,0.3803
0:13:07.210606,0.38809999999999995
0:13:23.489538,0.3832
0:13:40.274263,0.38710000000000006
0:13:55.299459,0.3945000000000001
0:14:10.574759,0.391
0:14:27.410588,0.3965
0:14:43.526346,0.394
0:14:59.196253,0.37950000000000006
0:15:14.575053,0.40010000000000007
0:15:30.119250,0.39879999999999993
0:15:45.911130,0.39
0:16:01.705769,0.3933
0:16:16.793982,0.3752
0:16:31.828773,0.4131
0:16:48.716737,0.4002
0:17:04.585494,0.4065
0:17:20.524685,0.4062
0:17:35.742241,0.4103
0:17:51.734700,0.4048
0:18:06.974310,0.3974
0:18:23.046824,0.3935
0:18:38.175283,0.4055
0:18:53.205982,0.40340000000000004
0:19:08.296156,0.4079
0:19:23.443991,0.3995
0:19:38.792574,0.4095
0:19:54.680521,0.4162
0:20:09.724794,0.412
0:20:25.483693,0.4124
0:20:40.616104,0.4157
0:20:56.831933,0.4154
0:21:12.346058,0.4151
0:21:27.401984,0.40579999999999994
0:21:42.474179,0.4192
0:21:57.499771,0.4318
0:22:12.589992,0.4111
0:22:27.674147,0.4153
