epoch,f1
1,0.1168
2,0.1163
3,0.1299
4,0.1379
5,0.1457
6,0.1628
7,0.1766
8,0.18409999999999999
9,0.18730000000000002
10,0.1802
11,0.19080000000000003
12,0.1928
13,0.1968
14,0.2039
15,0.2145
16,0.2208
17,0.205
18,0.2157
19,0.23079999999999998
20,0.2382
21,0.2369
22,0.2391
23,0.2322
24,0.2471
25,0.2551
26,0.2472
27,0.2158
28,0.2261
29,0.244
30,0.2572
31,0.2357
32,0.2571
33,0.2632
34,0.2603
35,0.26
36,0.2656
37,0.2732
38,0.2658
39,0.2637
40,0.25
41,0.2701
42,0.2671
43,0.2613
44,0.2727
45,0.2802
46,0.2618
47,0.263
48,0.2769
49,0.2456
50,0.2769
51,0.2933
52,0.2955
53,0.2926
54,0.293
55,0.3035
56,0.3043
57,0.2889
58,0.2745
59,0.2947
60,0.2923
61,0.3084
62,0.3066
63,0.2976
64,0.2972
65,0.3104
66,0.3196
67,0.3249
68,0.313
69,0.311
70,0.3197
71,0.3198
72,0.3113
73,0.3189
74,0.3191
75,0.3262
76,0.3151
77,0.3222
78,0.3297
79,0.3253
80,0.3159
81,0.3205
82,0.3293
83,0.3127
84,0.3246
85,0.3097
86,0.3264
87,0.3327
88,0.3263
89,0.3381
90,0.3426
91,0.3213
92,0.341
93,0.3411
94,0.3432
95,0.3484
96,0.3391
97,0.3514
98,0.3407
99,0.3261
100,0.337
101,0.34
102,0.345
103,0.3361
104,0.3501
105,0.3462
106,0.343
107,0.3379
108,0.3444
109,0.3504
110,0.3513
111,0.3448
112,0.353
113,0.3604
114,0.3497
115,0.3548
116,0.3641
117,0.3606
118,0.3601
119,0.3556
120,0.36369999999999997
121,0.3539
122,0.3709
123,0.3697
124,0.3586
125,0.35429999999999995
126,0.3622000000000001
127,0.357
128,0.3583
129,0.3601
130,0.3657
131,0.3584
132,0.367
133,0.3587000000000001
134,0.3394
135,0.3617000000000001
136,0.3748
137,0.3749
138,0.3616
139,0.3668
140,0.3694
141,0.3781
142,0.3811
143,0.3561000000000001
144,0.3651
145,0.3801
146,0.3876
147,0.372
148,0.37099999999999994
149,0.3707
150,0.3701
151,0.37209999999999993
152,0.3712
153,0.3723
154,0.38
155,0.3805
156,0.38830000000000003
157,0.3803
158,0.3914
159,0.3907
160,0.3772
161,0.3822
162,0.3952
163,0.3869000000000001
164,0.3836
165,0.3761
166,0.3888
167,0.37209999999999993
168,0.3715
169,0.382
170,0.3831
171,0.39200000000000007
172,0.3802
173,0.3842
174,0.3767
175,0.3959
176,0.3775
177,0.3862
178,0.3964
179,0.373
180,0.38510000000000005
181,0.4008
182,0.39200000000000007
183,0.39050000000000007
184,0.39730000000000004
185,0.3981
186,0.39019999999999994
187,0.3970000000000001
188,0.3951
189,0.3959
190,0.4003
191,0.3995
192,0.4061
193,0.3908
194,0.393
195,0.3928
196,0.4086
197,0.40260000000000007
198,0.4015
199,0.4054
200,0.4033
201,0.398
202,0.4088
203,0.4052
204,0.4053
205,0.396
206,0.3926
207,0.398
208,0.3982
209,0.4138
210,0.40510000000000007
211,0.4064
212,0.4032
213,0.4118
214,0.4183
215,0.4095
216,0.4002
217,0.4087
218,0.416
219,0.41
220,0.4192
221,0.4076
222,0.4017
223,0.40839999999999993
224,0.3893
225,0.3987
226,0.411
227,0.4085
228,0.413
229,0.408
230,0.396
231,0.4205
232,0.4135
233,0.4088
234,0.3970000000000001
235,0.4135
236,0.416
237,0.4091000000000001
238,0.4204
239,0.4118
240,0.4053
241,0.4166
242,0.4214
243,0.4172
244,0.41339999999999993
245,0.4173
246,0.42239999999999994
247,0.41079999999999994
248,0.421
249,0.41339999999999993
250,0.4139
251,0.4198
252,0.4198
253,0.413
254,0.4243
255,0.42239999999999994
256,0.4207
257,0.417
258,0.4127
259,0.398
260,0.4187
261,0.4204
262,0.4182
263,0.4285
264,0.422
265,0.4162
266,0.4235
267,0.4268
268,0.4193
269,0.4233
270,0.4262
271,0.4218
272,0.4243
273,0.4277
274,0.428
275,0.4212000000000001
276,0.4264
277,0.4136
278,0.4196
279,0.417
280,0.4177
281,0.4286
282,0.4297000000000001
283,0.3974
284,0.4208
285,0.4137
286,0.3904
287,0.4095
288,0.4286
289,0.4239
290,0.4294
291,0.4163
292,0.4278
293,0.4345
294,0.4289
295,0.4258
296,0.4346
297,0.414
298,0.4368000000000001
299,0.4299
300,0.4099
301,0.4283
302,0.4359
303,0.42299999999999993
304,0.4291
305,0.4328
306,0.4265
307,0.424
308,0.43509999999999993
309,0.4376
310,0.436
311,0.4356999999999999
312,0.43489999999999995
313,0.4376
314,0.4384
315,0.43859999999999993
316,0.4352
317,0.43359999999999993
318,0.44810000000000005
319,0.4282
320,0.4404
321,0.4412
322,0.4201
323,0.4258
324,0.4298
325,0.4268
326,0.4231
327,0.4237
328,0.4328
329,0.4381
330,0.4359
331,0.4316
332,0.426
333,0.4362
334,0.4358000000000001
335,0.4271
336,0.4328
337,0.4432
338,0.4425
339,0.4435
340,0.4405
341,0.439
342,0.43649999999999994
343,0.41779999999999995
344,0.4333000000000001
345,0.43649999999999994
346,0.4477
347,0.4479
348,0.4395
349,0.4346
350,0.4375
351,0.4527
352,0.4505
353,0.4482
354,0.4426
355,0.4435
356,0.4472
357,0.4395
358,0.442
359,0.44800000000000006
360,0.4443
361,0.4487
362,0.4528
363,0.4438
364,0.4341
365,0.4431
366,0.4425
367,0.4344
368,0.4466
369,0.4413
370,0.4568
371,0.4588
372,0.4427
373,0.4433
374,0.4491
375,0.45009999999999994
376,0.4437
377,0.4518
378,0.463
379,0.4498
380,0.4499
381,0.4567
382,0.4463
383,0.43509999999999993
384,0.4532
385,0.4438
386,0.4302
387,0.4402
388,0.4557
389,0.445
390,0.4542
391,0.4067
392,0.4461
393,0.43939999999999996
394,0.44139999999999996
395,0.4601
396,0.4528
397,0.4419
398,0.4478
399,0.445
400,0.4458
401,0.4454000000000001
402,0.4513
403,0.4514
404,0.4477
405,0.46
406,0.4534
407,0.446
408,0.4456
409,0.4488
410,0.4452
411,0.4531
412,0.46159999999999995
413,0.45940000000000003
414,0.4569
415,0.4638
416,0.4642
417,0.4568
418,0.4678
419,0.4518
420,0.4527
421,0.4569
422,0.4651
423,0.461
424,0.4557
425,0.4613
426,0.46
427,0.4568
428,0.4533
429,0.4506
430,0.4547
431,0.4497
432,0.457
433,0.4461
434,0.4527
435,0.4509
436,0.45940000000000003
437,0.4524
438,0.432
439,0.459
440,0.4569
441,0.4646
442,0.4511
443,0.4663
444,0.4574
445,0.4533
446,0.4666
447,0.4611
448,0.4569
449,0.4554
450,0.4647
451,0.4507
452,0.4711
453,0.46309999999999996
454,0.4672
455,0.4689
456,0.4684
457,0.4669
458,0.45610000000000006
459,0.4568
460,0.4459
461,0.4691
462,0.4672
463,0.4687
464,0.46309999999999996
465,0.4582
466,0.4581
467,0.46049999999999996
468,0.4576
469,0.4711
470,0.4707
471,0.4633
472,0.4656
473,0.4678
474,0.46049999999999996
475,0.4431
476,0.4579
477,0.4509
478,0.45380000000000004
479,0.4723
480,0.4507
481,0.47309999999999997
482,0.4641
483,0.4523
484,0.45940000000000003
485,0.4602
486,0.4516
487,0.4621
488,0.4661
489,0.4686
490,0.4621
491,0.4645
492,0.4563
493,0.4672
494,0.4617
495,0.4646
496,0.4687
497,0.4684
498,0.4599
499,0.4665
500,0.4683
501,0.4716
502,0.4576
503,0.4697
504,0.4533
505,0.473
506,0.4723
507,0.4722
508,0.4682
509,0.4721
510,0.4712
511,0.4714
512,0.4637
513,0.4764
514,0.4549
515,0.46049999999999996
516,0.4587
517,0.4597
518,0.4702
519,0.469
520,0.4772
521,0.4624
522,0.4694
523,0.4698
524,0.462
525,0.47490000000000004
526,0.4641
527,0.4534
528,0.4745
529,0.4793
530,0.4779
531,0.4752
532,0.468
533,0.4626
534,0.4647
535,0.4702
536,0.4748
537,0.4454000000000001
538,0.4709
539,0.4695
540,0.4774
541,0.4708
542,0.4719
543,0.4682
544,0.4693
545,0.4715
546,0.474
547,0.4698
548,0.4804
549,0.4678
550,0.4693
551,0.4666
552,0.4724
553,0.4717
554,0.4776
555,0.4727
556,0.478
557,0.4771
558,0.4779
559,0.4873
560,0.4678
561,0.4795
562,0.4747
563,0.4633
564,0.4703
565,0.4737
566,0.4774
567,0.484
568,0.4624
569,0.4865
570,0.4737
571,0.4869
572,0.4723
573,0.4728
574,0.4798
575,0.4826
576,0.48
577,0.4746
578,0.4597
579,0.4685
580,0.4703
581,0.4811
582,0.4777
583,0.468
584,0.473
585,0.4812
586,0.4829
587,0.4727
588,0.4775
589,0.4909
590,0.4818
591,0.4842
592,0.47040000000000004
593,0.4879
594,0.4888
595,0.4851
596,0.4776
597,0.4793
598,0.4774
599,0.4862
600,0.4843
601,0.4828
602,0.4827
603,0.4925
604,0.4832
605,0.4773
606,0.4858
607,0.4734
608,0.4817
609,0.4865
610,0.4851
611,0.4763
612,0.4816
613,0.4802
614,0.4854
615,0.4884
616,0.4831
617,0.473
618,0.4701
619,0.4744
620,0.4701
621,0.487
622,0.4821
623,0.47490000000000004
624,0.4837000000000001
625,0.4835
626,0.4867
627,0.4758
628,0.4921
629,0.4902
630,0.4947
631,0.4777
632,0.4711
633,0.483
634,0.4829
635,0.4785
636,0.4852
637,0.4911
638,0.4858
639,0.4822
640,0.4923
641,0.4958
642,0.4837000000000001
643,0.4875
644,0.4906
645,0.4854
646,0.4848
647,0.4769
648,0.4795
649,0.4836
650,0.4884
651,0.4828
652,0.4875
653,0.496
