time,f1
0:00:00.015169,0.0953
0:00:15.107994,0.1156
0:00:31.609451,0.1307
0:00:46.751237,0.1319
0:01:02.418844,0.136
0:01:17.604606,0.1822
0:01:33.554314,0.1979
0:01:48.728752,0.1721
0:02:04.915612,0.2458
0:02:21.006923,0.2066
0:02:37.280679,0.2497
0:02:53.390695,0.243
0:03:08.910247,0.2489
0:03:25.436649,0.20539999999999997
0:03:41.514184,0.2594
0:03:57.667586,0.2781
0:04:14.222970,0.2334
0:04:30.352644,0.2593
0:04:46.731123,0.294
0:05:02.813947,0.2956
0:05:18.930667,0.3034
0:05:35.358983,0.2914
0:05:51.146867,0.2745
0:06:08.017358,0.3374
0:06:23.136172,0.3437
0:06:39.329402,0.3778
0:06:55.407997,0.234
0:07:12.458744,0.33
0:07:28.461240,0.3228
0:07:44.168082,0.36499999999999994
0:08:00.697494,0.3175
0:08:16.825057,0.37679999999999997
0:08:32.687840,0.374
0:08:49.509543,0.3832999999999999
0:09:04.635065,0.38499999999999995
0:09:20.441172,0.3291
0:09:36.299621,0.3891
0:09:52.552030,0.3893
0:10:08.913917,0.43390000000000006
0:10:24.384879,0.3984
0:10:40.505951,0.2721
0:10:55.954280,0.4141
0:11:12.757598,0.3842
0:11:28.514786,0.4181
0:11:44.894732,0.3216
0:12:00.470099,0.3944
0:12:16.604747,0.3907
0:12:31.641060,0.4226
0:12:47.819620,0.3916
0:13:04.113036,0.4493
0:13:19.170318,0.4372
0:13:34.869006,0.4509
0:13:49.985125,0.4067
0:14:06.191481,0.4419
0:14:22.551862,0.3877
0:14:37.697360,0.4335
0:14:54.326997,0.444
0:15:10.539678,0.40839999999999993
0:15:26.310659,0.4521
0:15:42.736410,0.4406
0:15:59.326329,0.4442
0:16:15.368215,0.4502
0:16:31.604237,0.4585
0:16:48.257586,0.4462
0:17:04.485785,0.4788
0:17:19.826317,0.4598
0:17:35.393532,0.4153
0:17:51.558655,0.4435
0:18:07.822858,0.4072
0:18:23.148809,0.4777
0:18:38.397047,0.4222
0:18:53.447276,0.4869
0:19:08.558119,0.4509
0:19:23.611877,0.4595
0:19:38.798521,0.4713
0:19:53.819811,0.47589999999999993
0:20:08.884604,0.4549
0:20:24.042371,0.4557
0:20:39.089747,0.4613
0:20:54.344034,0.4915
0:21:10.452295,0.49
0:21:25.973994,0.4989
0:21:41.076407,0.4856
0:21:56.240112,0.4893
0:22:11.417570,0.4514
0:22:26.534341,0.4619
0:22:41.563624,0.5033
0:22:56.697252,0.503
0:23:11.819374,0.4645
0:23:27.264812,0.4953
0:23:43.557710,0.4953
0:23:58.601453,0.5108
0:24:14.282332,0.4475
0:24:29.521902,0.5082
0:24:45.258102,0.4831
0:25:01.432156,0.4781
0:25:17.776410,0.4744
0:25:34.357360,0.497
0:25:50.754749,0.4663
0:26:06.507575,0.4995
0:26:23.000074,0.4951
0:26:39.157342,0.4932
0:26:55.683550,0.5057
0:27:11.922254,0.5016
0:27:28.490904,0.4745
0:27:44.850876,0.5015
0:28:00.980846,0.4949
0:28:17.173451,0.5259
0:28:33.254203,0.5108
0:28:48.450038,0.4938
0:29:04.065162,0.4977
0:29:19.639841,0.4919
0:29:35.727233,0.5007
0:29:50.912990,0.5036
0:30:06.980964,0.5201
0:30:22.889101,0.5267
0:30:38.038125,0.5
0:30:53.862280,0.5041
0:31:10.057413,0.5357
0:31:25.784165,0.5047
0:31:42.342336,0.5371
0:31:57.906144,0.4577
0:32:14.052755,0.4955
0:32:30.733229,0.5356
0:32:46.694271,0.5384
0:33:02.782928,0.4982
0:33:19.043349,0.5184
0:33:34.605432,0.5061
0:33:50.448789,0.481
0:34:06.638749,0.5283
0:34:23.231630,0.5268
0:34:39.263188,0.4945
0:34:55.753726,0.4954
0:35:11.703160,0.5321
0:35:27.475678,0.5499
0:35:43.456810,0.545
0:35:59.108930,0.5254
0:36:14.696103,0.5056
0:36:31.363486,0.5352
0:36:47.892290,0.5215
0:37:03.777187,0.5348
0:37:19.598216,0.503
0:37:34.950953,0.545
0:37:50.620670,0.5048
0:38:06.144547,0.5149
0:38:22.228811,0.5492
0:38:38.910936,0.5322
0:38:54.764444,0.4643
0:39:10.761893,0.5306
0:39:26.497658,0.5546
0:39:42.636626,0.4972
0:39:58.776749,0.5091
0:40:14.785921,0.5346
0:40:31.291582,0.5484
0:40:47.980325,0.548
0:41:03.963029,0.531
0:41:20.014638,0.5352
0:41:35.691469,0.5081
0:41:51.586339,0.556
0:42:07.316774,0.5586
0:42:22.780083,0.4871
0:42:38.501655,0.5524
0:42:53.687137,0.5541
0:43:09.179979,0.5391
0:43:25.052695,0.5409
0:43:40.864536,0.5498
0:43:56.731055,0.5632
0:44:12.849670,0.5449
0:44:27.875038,0.5445
0:44:43.796161,0.5216
0:45:00.133268,0.5571
0:45:15.244970,0.5589
0:45:31.722763,0.5693
0:45:46.766374,0.4848
0:46:03.104525,0.559
0:46:19.404371,0.5566
0:46:36.181022,0.5427
0:46:52.511929,0.5005
0:47:08.289276,0.5415
0:47:24.734986,0.5673
0:47:41.586406,0.5634
0:47:57.495907,0.561
0:48:12.570070,0.5436
0:48:28.756402,0.556
0:48:45.186833,0.5127
0:49:00.410099,0.5415
0:49:15.454960,0.5511
0:49:30.746256,0.533
0:49:45.813432,0.5498
0:50:00.983655,0.5021
0:50:17.195974,0.556
0:50:33.255493,0.5456
0:50:49.277899,0.559
0:51:05.142080,0.5374
0:51:20.786581,0.5681
0:51:36.030940,0.5589
0:51:52.080229,0.5478
0:52:07.683835,0.5655
0:52:23.406812,0.5652
0:52:39.920657,0.5581
0:52:56.226960,0.5429
0:53:12.269130,0.5026
0:53:27.896699,0.4729
0:53:43.981408,0.5379
0:54:00.248758,0.5357
0:54:16.446264,0.557
0:54:32.877118,0.5135
0:54:48.351690,0.5511
0:55:04.047423,0.5399
0:55:19.222494,0.5657
0:55:35.498620,0.5537
0:55:51.715076,0.5572
0:56:07.793729,0.5444
0:56:23.863972,0.5687
0:56:39.245437,0.545
0:56:55.803101,0.5665
0:57:11.595448,0.5321
0:57:27.236496,0.555
0:57:42.520526,0.5536
0:57:59.227969,0.5566
0:58:15.622024,0.562
0:58:32.018641,0.5293
0:58:47.372737,0.5465
0:59:03.356583,0.5642
0:59:19.048279,0.5476
0:59:34.282215,0.5822
0:59:49.775767,0.5514
1:00:05.268376,0.572
1:00:20.634003,0.5544
1:00:35.805824,0.5384
1:00:50.951016,0.5603
1:01:06.003608,0.579
1:01:21.051842,0.5624
1:01:36.085282,0.5558
1:01:51.414638,0.566
1:02:06.979877,0.582
1:02:22.008594,0.5487
1:02:37.174138,0.5241
1:02:52.309379,0.5783
1:03:07.710433,0.5587
1:03:22.838370,0.5811
1:03:37.986263,0.555
1:03:53.204578,0.5887
1:04:08.722229,0.5454
1:41:28.415745,0.5555
1:41:43.587193,0.5588
1:41:59.776198,0.5814
1:42:14.862649,0.5705
1:42:30.530173,0.557
1:42:46.825001,0.579
1:43:02.137628,0.5498
1:43:17.759063,0.5601
