time,f1
0:00:00.014001,0.1368
0:00:15.267334,0.1045
0:00:31.358921,0.1439
0:00:47.720607,0.20419999999999996
0:01:04.302832,0.1674
0:01:19.635041,0.2061
0:01:35.466273,0.243
0:01:51.013104,0.2509
0:02:06.744055,0.251
0:02:21.811524,0.2836
0:02:37.236598,0.2802
0:02:53.072068,0.2818
0:03:08.561849,0.2812
0:03:23.572473,0.2499
0:03:39.061931,0.2906
0:03:54.794401,0.2968
0:04:10.016303,0.3134
0:04:25.262901,0.3097
0:04:40.685847,0.2433
0:04:56.571678,0.3028
0:05:12.111398,0.3406
0:05:27.607755,0.2849
0:05:42.656627,0.3405
0:05:57.690701,0.3472
0:06:12.920159,0.319
0:06:28.115509,0.3862999999999999
0:06:43.244553,0.3709
0:06:58.276814,0.3647
0:07:13.405744,0.3773
0:07:28.451937,0.3907
0:07:43.598961,0.3613
0:07:58.621973,0.37679999999999997
0:08:13.705209,0.35979999999999995
0:08:29.573443,0.4233
0:08:45.158672,0.3937
0:09:01.288684,0.4118
0:09:16.329751,0.3702
0:09:31.433960,0.4133
0:09:47.894497,0.4284
0:10:03.850794,0.3934
0:10:18.950867,0.4353
0:10:34.004332,0.364
0:10:49.204369,0.3866
0:11:04.248918,0.395
0:11:19.266939,0.4513
0:11:34.940006,0.41
0:11:51.537103,0.4587
0:12:06.764040,0.3341
0:12:21.800570,0.4372
0:12:36.826609,0.4309
0:12:51.852605,0.4464
0:13:06.860649,0.443
0:13:21.930984,0.4513
0:13:37.143896,0.435
0:13:52.175925,0.4647
0:14:07.499964,0.47309999999999997
0:14:22.715257,0.4334
0:14:38.004294,0.4238
0:14:53.173441,0.4771
0:15:08.334997,0.4462
0:15:23.540187,0.4191
0:15:38.571036,0.4144
0:15:53.599578,0.4608
0:16:08.609066,0.4374
0:16:24.000474,0.4101
0:16:39.031495,0.4402
0:16:54.171551,0.4976
0:17:09.455604,0.4453
0:17:24.863595,0.4916
0:17:40.160661,0.4574
0:17:55.195767,0.4647
0:18:10.431803,0.4332
0:18:25.850081,0.4701
0:18:41.074387,0.4706
0:18:56.416162,0.5017
0:19:11.790439,0.4643
0:19:27.065517,0.4858
0:19:42.276116,0.4837000000000001
0:19:57.668527,0.4283
0:20:12.945031,0.4826
0:20:28.375267,0.5024
0:20:43.568363,0.369
0:20:58.625392,0.5036
0:21:14.035960,0.4413
0:21:29.303988,0.517
0:21:44.470988,0.47430000000000005
0:21:59.530026,0.4634
0:22:14.554057,0.4798
0:22:29.695498,0.4424
0:22:44.782506,0.4819
0:23:00.011556,0.5108
0:23:15.029069,0.4968
0:23:30.038524,0.4878
0:23:45.048776,0.412
0:24:00.086573,0.5078
0:24:15.189615,0.4891
0:24:30.531668,0.5258
0:24:45.561738,0.4923
0:25:00.595768,0.4895
0:25:15.625924,0.5289
0:25:30.641925,0.5112
0:25:45.734833,0.508
0:26:02.230856,0.5102
0:26:18.020310,0.5029
0:26:33.087668,0.5171
0:26:48.119722,0.5076
0:27:03.142373,0.4967
0:27:18.208399,0.507
0:27:33.863754,0.5254
0:27:50.104128,0.5061
0:28:05.164766,0.5012
0:28:20.360715,0.5165
0:28:35.478544,0.529
0:28:50.751071,0.5341
0:29:05.872225,0.3796
