epoch,f1
1,0.3057
2,0.19170000000000004
3,0.10000000000000002
4,0.1522
5,0.2469
6,0.3363
7,0.2976
8,0.3996
9,0.3733
10,0.119
11,0.1667
12,0.1623
13,0.1318
14,0.1042
15,0.2901
16,0.2705
17,0.3286
18,0.1339
19,0.2811
20,0.2444
21,0.1913
22,0.2465
23,0.2454
24,0.3179
25,0.4104
26,0.3767
27,0.5107
28,0.3596
29,0.3162
30,0.40700000000000003
31,0.449
32,0.5097
33,0.5597
34,0.5475
35,0.5341
36,0.3055
37,0.4669
38,0.4068
39,0.4786
40,0.5828
41,0.5865
42,0.5735
43,0.581
44,0.6038
45,0.6354
46,0.652
47,0.6283
48,0.5973
49,0.5715
50,0.561
51,0.6092
52,0.651
53,0.6321
54,0.6554
55,0.6263
56,0.688
57,0.6576
58,0.6679
59,0.6202
60,0.6624
61,0.6923
62,0.6988
63,0.6633
64,0.7275000000000001
65,0.7101
66,0.7279
67,0.7024
68,0.6831
69,0.7306
70,0.6556
71,0.698
72,0.6658
73,0.7098000000000001
74,0.7011
75,0.726
76,0.7389
77,0.7065
78,0.7441000000000001
79,0.7187
80,0.7302999999999998
81,0.7378
82,0.7504
83,0.7126
84,0.7123
85,0.6757
86,0.6898
87,0.6938
88,0.7258000000000001
89,0.7547
90,0.7627
91,0.7195
92,0.7743
93,0.7569
94,0.7343
95,0.7732
96,0.7142
97,0.7374
98,0.7543
99,0.7543
100,0.7032
101,0.739
102,0.7683
103,0.7714
104,0.7849000000000002
105,0.6979
106,0.7616
107,0.7486
108,0.7561
109,0.7619
110,0.7229
111,0.7831
112,0.7614
113,0.7699
114,0.778
115,0.7714
116,0.7868
117,0.7348
118,0.6494
119,0.7236
120,0.6838
121,0.7116
122,0.7622
123,0.7689000000000001
124,0.7621
125,0.7648
126,0.76
127,0.7669
128,0.7715000000000001
129,0.7686
130,0.7796
131,0.7792
132,0.7889
133,0.7953
134,0.7970999999999999
135,0.7557999999999999
136,0.7509
137,0.7837
138,0.7940000000000002
139,0.8017
140,0.7905
141,0.7919
142,0.7738000000000002
143,0.6884
144,0.7992
145,0.7838
146,0.7827
147,0.793
148,0.8021000000000001
149,0.7922
150,0.7969
151,0.8104
152,0.7914
153,0.8008999999999998
154,0.7703
155,0.8054999999999999
156,0.7963
157,0.8114
158,0.8114
159,0.8083999999999999
160,0.764
161,0.7839
162,0.7559000000000001
163,0.7986
164,0.805
165,0.779
166,0.821
167,0.8223
168,0.7812000000000001
169,0.7951
170,0.808
171,0.7829999999999999
172,0.7522
173,0.7987
174,0.7765
175,0.802
176,0.7872
177,0.8167999999999999
178,0.7928
179,0.7756000000000001
180,0.8191
181,0.7944
182,0.8162999999999999
183,0.8201
184,0.7846
185,0.8089
186,0.8079
187,0.8123
188,0.7747999999999999
189,0.8251
190,0.81
191,0.8090999999999999
192,0.8017
193,0.8186
194,0.8108
195,0.8242
196,0.8090999999999999
197,0.8262
198,0.8063
199,0.7921000000000001
200,0.8083
201,0.8209000000000001
202,0.811
203,0.8162999999999999
204,0.8129
205,0.8093999999999999
206,0.764
207,0.7859
208,0.7839
209,0.8221
210,0.8225
211,0.7965
212,0.8186
213,0.8204999999999999
214,0.8255
215,0.8267
216,0.8232
