time,f1
0:00:00.024889,0.10000000000000002
0:00:15.413045,0.2558
0:00:31.356546,0.1857
0:00:47.103755,0.2274
0:01:02.956218,0.2056
0:01:18.412352,0.1122
0:01:34.082465,0.2031
0:01:49.725236,0.2083
0:02:05.212637,0.3399
0:02:20.828271,0.3347
0:02:36.603174,0.5805
0:02:52.215029,0.2126
0:03:08.392699,0.0729
0:03:24.138967,0.0953
0:03:40.208927,0.3071
0:03:56.658756,0.1031
0:04:12.319106,0.1579
0:04:28.398116,0.2612
0:04:44.106537,0.4255
0:05:00.224988,0.3834000000000001
0:05:15.758384,0.3972
0:05:31.132180,0.3444
0:05:47.916429,0.41079999999999994
0:06:03.533479,0.4923
0:06:20.283594,0.5096
0:06:36.232170,0.36
0:06:51.831484,0.2445
0:07:07.064563,0.3399
0:07:23.110595,0.4668
0:07:38.559589,0.437
0:07:54.427423,0.4412
0:08:10.493989,0.4457
0:08:26.095702,0.47490000000000004
0:08:41.816732,0.476
0:08:57.721472,0.3887
0:09:13.231142,0.5225
0:09:28.916590,0.4577
0:09:44.868363,0.5797
0:10:00.311564,0.5574
0:10:16.036306,0.4307
0:10:31.411318,0.4711
0:10:46.838828,0.4973
0:11:02.834226,0.449
0:11:18.348628,0.5285
0:11:34.638107,0.5418
0:11:50.294828,0.5725
0:12:05.655700,0.5645
0:12:21.458555,0.542
0:12:37.124182,0.6481
0:12:52.461497,0.6775
0:13:07.866470,0.6508
0:13:23.314168,0.6605
0:13:38.724796,0.6537
0:13:54.492711,0.6901
0:14:09.702385,0.6702
0:14:25.251428,0.6984
0:14:40.746286,0.6973
0:14:56.045254,0.6807
0:15:11.854912,0.6742
0:15:27.521783,0.6928
0:15:43.927626,0.6932
0:16:00.031650,0.6711
0:16:15.967036,0.6403
0:16:31.776475,0.6728
0:16:47.264986,0.6489
0:17:03.124327,0.7191
0:17:19.138427,0.6672
0:17:34.832569,0.7007
0:17:50.584608,0.6818
0:18:07.397456,0.744
0:18:23.413499,0.7388
0:18:38.950157,0.7063
0:18:54.917039,0.729
0:19:10.994366,0.7273
0:19:27.266121,0.726
0:19:42.673244,0.7067
0:19:57.973388,0.7604
0:20:13.386076,0.7434
0:20:28.928631,0.7374
0:20:45.114305,0.684
0:21:00.808322,0.7151000000000001
0:21:16.485120,0.6836
0:21:32.420355,0.7209
0:21:48.220629,0.7069
0:22:04.076266,0.7534
0:22:19.821600,0.7332000000000001
0:22:35.737733,0.6982
0:22:51.230273,0.7614
0:23:06.808036,0.7457
0:23:23.028683,0.7471
0:23:38.404906,0.7641
0:23:54.116487,0.7533
0:24:09.702480,0.7534
0:24:25.477457,0.7757
0:24:41.100254,0.7761
0:24:57.023507,0.754
0:25:13.048937,0.7598
0:25:28.477560,0.7535999999999999
0:25:43.688338,0.752
0:25:59.117763,0.7635
0:26:14.972232,0.7769
0:26:30.656470,0.7759
0:26:46.219830,0.7428
0:27:01.642838,0.7542
0:27:17.703123,0.7846
0:27:33.333597,0.768
0:27:49.041469,0.7727
0:28:04.875221,0.7586
0:28:20.950309,0.7287
0:28:36.814297,0.7552
0:28:52.477556,0.7867
0:29:08.533503,0.7703
0:29:24.897238,0.772
0:29:40.414891,0.776
0:29:56.334071,0.7738000000000002
0:30:11.403939,0.7384
0:30:27.199907,0.7498
0:30:43.341737,0.7669
0:30:59.178489,0.7852
0:31:15.055683,0.7611
0:31:30.724266,0.7767
0:31:46.454408,0.7757
0:32:02.230416,0.7772
0:32:18.215662,0.7729999999999999
0:32:33.871056,0.7825
0:32:49.596474,0.7787000000000001
0:33:05.203565,0.7688
0:33:20.899675,0.7226999999999999
0:33:36.406467,0.7664
0:33:51.930069,0.7802
0:34:07.426861,0.7623
0:34:22.986136,0.7801
0:34:38.609124,0.7924
0:34:54.107312,0.7872
0:35:09.794919,0.7753
0:35:26.030297,0.7904
0:35:41.669453,0.7764
0:35:57.254322,0.776
0:36:12.624500,0.771
0:36:28.217416,0.7771
0:36:43.925976,0.7756000000000001
0:36:59.386267,0.7351000000000001
0:37:14.908927,0.7223
0:37:30.658832,0.7904
0:37:47.413504,0.8051
0:38:03.137185,0.8026
0:38:18.871459,0.8026
0:38:34.311214,0.7801
0:38:50.035441,0.8012
0:39:06.475712,0.8047
0:39:22.670184,0.8164
0:39:38.771593,0.7965
0:39:54.633581,0.7511
0:40:10.038774,0.7728
0:40:25.558447,0.7660999999999999
0:40:41.213976,0.7662
0:40:56.741022,0.7548
0:41:12.473974,0.7972
0:41:27.932382,0.8069
0:41:44.422265,0.8147
0:42:00.638644,0.8018
0:42:16.334242,0.7768
0:42:32.320589,0.7723
0:42:47.820631,0.7721
0:43:03.338749,0.752
0:43:19.387089,0.6983
0:43:34.975449,0.7573
0:43:50.409796,0.7148
0:44:05.814536,0.7813
0:44:21.935473,0.7747999999999999
0:44:38.121578,0.8024
0:44:54.275881,0.8172
0:45:09.671299,0.8017
0:45:25.418832,0.8041000000000001
0:45:41.372174,0.7977
0:45:56.999817,0.7894
0:46:12.868045,0.7953999999999999
0:46:28.657969,0.7968
0:46:44.513667,0.8109
0:47:00.508510,0.8034
0:47:15.939300,0.8013
0:47:31.525469,0.7951
0:47:47.133714,0.7940000000000002
0:48:03.122292,0.8119999999999999
0:48:18.838651,0.7759
0:48:34.324483,0.7408
0:48:50.100161,0.7891
0:49:05.856553,0.7637
0:49:21.135618,0.7782
0:49:36.952314,0.7967
0:49:53.232656,0.778
0:50:09.232842,0.7974
0:50:24.926433,0.7763
0:50:40.438703,0.7503
0:50:55.880720,0.7567
0:51:11.234538,0.7747999999999999
0:51:27.416525,0.7633
0:51:43.727865,0.8169
0:51:59.285765,0.8064
0:52:15.222566,0.7891
0:52:30.944557,0.8035
0:52:46.459170,0.7842
0:53:01.752618,0.8090999999999999
0:53:17.509325,0.7837
0:53:33.304551,0.8165
0:53:48.769266,0.8069
0:54:04.308526,0.7959
0:54:19.849014,0.7924
0:54:36.433691,0.8093
0:54:51.805173,0.8114
0:55:07.133768,0.8203
0:55:23.423236,0.7921000000000001
0:55:39.321323,0.7977
0:55:55.332612,0.8194
0:56:11.075479,0.8214
0:56:26.582189,0.8156999999999999
0:56:42.721697,0.8194
0:56:58.738651,0.8129
0:57:14.478767,0.8273
0:57:30.205123,0.795
0:57:45.765456,0.8000999999999999
0:58:01.994838,0.7905
0:58:17.467620,0.7974
0:58:33.516756,0.747
0:58:49.121349,0.7984
0:59:04.821133,0.7449
0:59:20.404878,0.7995
0:59:36.011093,0.7607
0:59:51.624491,0.817
