epoch,f1
1,0.1764
2,0.1001
3,0.1431
4,0.10000000000000002
5,0.2734
6,0.1836
7,0.2992
8,0.3088
9,0.3162
10,0.3081
11,0.3061
12,0.1011
13,0.3714
14,0.3853
15,0.3661
16,0.3427
17,0.3908
18,0.43080000000000007
19,0.4721
20,0.4754
21,0.3824
22,0.3748
23,0.5293
24,0.5475
25,0.5083
26,0.506
27,0.5793
28,0.5301
29,0.5572
30,0.5014
31,0.5719
32,0.4556
33,0.5659
34,0.578
35,0.6172
36,0.6813
37,0.658
38,0.6729
39,0.684
40,0.722
41,0.7124
42,0.6263
43,0.7224
44,0.563
45,0.6201
46,0.6707
47,0.7247
48,0.6964
49,0.6994
50,0.7308
51,0.3925
52,0.5444
53,0.6483
54,0.6805
55,0.6685
56,0.6638
57,0.6908
58,0.6458
59,0.704
60,0.6924
61,0.7172
62,0.7113
63,0.747
64,0.7202
65,0.7193
66,0.7461999999999999
67,0.7301
68,0.7573
69,0.713
70,0.7429
71,0.7486
72,0.7119000000000001
73,0.7545000000000001
74,0.6969
75,0.7331
76,0.7287
77,0.7093
78,0.6987
79,0.7325
80,0.767
81,0.7721
82,0.7717
83,0.7382
84,0.7832
85,0.7738000000000002
86,0.7415
87,0.7892999999999999
88,0.7557000000000001
89,0.7815
90,0.6965
91,0.7520999999999999
92,0.7557999999999999
93,0.7651
94,0.7755
95,0.7882
96,0.7527000000000001
97,0.7425
98,0.7205999999999999
99,0.726
99,0.726
100,0.7805
101,0.7338
102,0.7853
103,0.7777
104,0.7754
105,0.7763
106,0.7816
107,0.7813
108,0.7593999999999999
109,0.7454
110,0.7801
111,0.7498
112,0.7787000000000001
113,0.767
114,0.7884
115,0.7840000000000001
116,0.8039000000000001
117,0.7226
118,0.6452
119,0.7886
120,0.7851
121,0.7357
122,0.766
123,0.7868999999999999
124,0.7815
125,0.7425
126,0.8075
127,0.7961
128,0.7946000000000001
129,0.8049
130,0.8099
131,0.7953
132,0.7763
133,0.7863
134,0.7564
135,0.7979
136,0.8065
137,0.7651
138,0.7891
139,0.7698
140,0.806
141,0.7972
142,0.7843
143,0.7825
144,0.8217999999999999
145,0.7887
146,0.7966
147,0.7725000000000001
148,0.8236
149,0.7357
150,0.7824
151,0.7901
152,0.8125
153,0.7872
154,0.8159
155,0.8207
156,0.8015
157,0.8067
158,0.7827
159,0.7542
160,0.806
161,0.7948
162,0.791
163,0.7905
164,0.7967
165,0.8298999999999999
166,0.8044999999999999
167,0.7949
168,0.8267999999999999
169,0.7846
170,0.7816
171,0.8149000000000001
172,0.823
173,0.8164
174,0.8206
175,0.8203
176,0.8054
177,0.8243
178,0.7961
179,0.8128
180,0.8231
181,0.8005
182,0.8169
183,0.7937
184,0.7882
185,0.8116999999999999
186,0.7986
187,0.8127
188,0.8041000000000001
189,0.8232
190,0.8159
191,0.7996
192,0.8217
193,0.8042
194,0.8309
195,0.8072
196,0.8099
