epoch,f1
1,0.2117
2,0.3326
3,0.4575
4,0.3101
5,0.4326999999999999
6,0.4461
7,0.4048
8,0.5415
9,0.5112
10,0.4223
11,0.2669
12,0.2047
13,0.3339
14,0.554
15,0.4398
16,0.398
17,0.3464
18,0.3056
19,0.4953
20,0.603
21,0.6097
22,0.592
23,0.6432
24,0.5482
25,0.5169
26,0.5381
27,0.6093
28,0.637
29,0.6086
30,0.6133
31,0.5595
32,0.5869
33,0.5291
34,0.6124
35,0.4991
36,0.508
37,0.5515
38,0.6508
39,0.6806
40,0.665
41,0.6337
42,0.5753
43,0.5897
44,0.6181
45,0.685
46,0.7114
47,0.6973
48,0.704
49,0.6446
50,0.6908
51,0.6396
52,0.6748
53,0.6965
54,0.7028
55,0.7115
56,0.7007
57,0.7045
58,0.6864
59,0.7221
60,0.7192
61,0.7265999999999999
62,0.7106999999999999
63,0.7085999999999999
64,0.6852
65,0.7081
66,0.6791
67,0.7184
68,0.7302
69,0.7237
70,0.7185
71,0.6983
72,0.6653
73,0.6995
74,0.7006
75,0.7262999999999998
76,0.7275000000000001
77,0.7362
78,0.7116
79,0.7315
80,0.7182
81,0.7372
82,0.7233
83,0.7341
84,0.7186
85,0.7384
86,0.7389
87,0.7385
88,0.7203
89,0.7279
90,0.7027
91,0.7236
92,0.7554999999999998
93,0.7511
94,0.7551
95,0.754
96,0.7492000000000001
97,0.6716
98,0.7041
99,0.7554
100,0.752
101,0.7614
102,0.7621
103,0.7576
104,0.7254
105,0.7417
106,0.7535
107,0.746
108,0.7321000000000001
109,0.7313
110,0.7109
111,0.7343
112,0.7547
113,0.7681999999999999
114,0.7705
115,0.7695
116,0.7747999999999999
117,0.7708
118,0.7663
119,0.7549
120,0.7224
121,0.7363999999999999
122,0.7634
123,0.7469000000000001
124,0.7391
125,0.762
126,0.7706
127,0.7714
128,0.7714
129,0.7702000000000001
130,0.762
131,0.7747999999999999
132,0.7704
133,0.7759
134,0.7684
135,0.7667
136,0.7779
137,0.785
138,0.7681999999999999
139,0.7867
140,0.7669
141,0.7686
142,0.7434
143,0.7331
144,0.7702000000000001
145,0.7775
146,0.7805
147,0.7736
148,0.7703
149,0.7611
