epoch,f1
1,0.2537
2,0.202
3,0.3019
4,0.3575
5,0.3908
6,0.1945
7,0.231
8,0.3319
9,0.2376
10,0.3211
11,0.4808
12,0.3409
13,0.282
14,0.4875
15,0.35940000000000005
16,0.132
17,0.1712
18,0.1288
19,0.18330000000000002
20,0.3744
21,0.4293
22,0.4537
23,0.3668
24,0.5046
25,0.5112
26,0.5015
27,0.6045
28,0.5657
29,0.5564
30,0.5089
31,0.5255
32,0.6363
33,0.5927
34,0.5968
35,0.553
36,0.6618
37,0.5916
38,0.5657
39,0.6536
40,0.6354
41,0.6751
42,0.6235
43,0.6547
44,0.5277
45,0.6166
46,0.7226
47,0.6432
48,0.6857
49,0.7058
50,0.6801
51,0.6995
52,0.6895
53,0.6955
54,0.7322
55,0.7053
56,0.7008
57,0.7415
58,0.6954
59,0.7119000000000001
60,0.6588
61,0.6901
62,0.6349
63,0.7056
64,0.7457
65,0.7143
66,0.7044
67,0.7478999999999999
68,0.7241
69,0.6957
70,0.6584
71,0.7156
72,0.6748
73,0.7256000000000001
74,0.7499000000000001
75,0.763
76,0.7541
77,0.7246
78,0.7186
79,0.6916
80,0.7323
81,0.7417
82,0.7553
83,0.7685
84,0.7613
85,0.7467
86,0.7662
87,0.7581000000000001
88,0.7669
89,0.7515
90,0.7598
91,0.7691000000000001
92,0.7418
93,0.7536999999999999
94,0.7624
95,0.7761
96,0.7652
97,0.755
98,0.7487
99,0.7822
100,0.7753
101,0.7721
102,0.7855
103,0.7472
104,0.7622
105,0.7812000000000001
106,0.743
107,0.7423000000000001
108,0.788
109,0.7520999999999999
110,0.7614
111,0.7654
112,0.7589000000000001
113,0.7874
114,0.7644
115,0.7811000000000001
115,0.7811000000000001
116,0.7789
117,0.7513
118,0.7524
119,0.7607999999999999
120,0.7834
121,0.7569
122,0.7451
123,0.7823
124,0.7874
